,date,ML,Low,High
Telangana,2020-04-16,1.34,0.8300000000000001,1.83
Telangana,2020-04-17,1.43,0.96,1.9100000000000001
Telangana,2020-04-18,1.29,0.85,1.77
Uttar Pradesh,2020-03-14,0.0,0.59,12.0
Uttar Pradesh,2020-03-15,1.0,0.0,6.3500000000000005
Uttar Pradesh,2020-03-16,1.0,0.0,5.08
Uttar Pradesh,2020-03-17,2.15,0.0,4.99
Uttar Pradesh,2020-03-18,1.73,0.0,4.14
Uttar Pradesh,2020-03-19,2.0100000000000002,0.02,3.99
Uttar Pradesh,2020-03-20,1.73,0.01,3.47
Uttar Pradesh,2020-03-21,1.57,0.01,3.15
Uttar Pradesh,2020-03-22,1.5,0.01,2.99
Uttar Pradesh,2020-03-23,1.44,0.01,2.86
Uttar Pradesh,2020-03-24,1.21,0.01,2.61
Uttar Pradesh,2020-03-25,1.56,0.08,2.9
Uttar Pradesh,2020-03-26,1.49,0.1,2.7800000000000002
Uttar Pradesh,2020-03-27,1.83,0.44,3.13
Uttar Pradesh,2020-03-28,1.8900000000000001,0.61,3.0700000000000003
Uttar Pradesh,2020-03-29,1.81,0.68,2.92
Uttar Pradesh,2020-03-30,1.74,0.68,2.72
Uttar Pradesh,2020-03-31,1.74,0.8,2.67
Uttar Pradesh,2020-04-01,1.77,0.91,2.61
Uttar Pradesh,2020-04-02,1.87,1.1,2.62
Uttar Pradesh,2020-04-03,1.81,1.1300000000000001,2.5100000000000002
Uttar Pradesh,2020-04-04,1.75,1.11,2.36
Uttar Pradesh,2020-04-05,1.6300000000000001,1.06,2.22
Uttar Pradesh,2020-04-06,1.51,0.97,2.06
Uttar Pradesh,2020-04-07,1.36,0.85,1.8900000000000001
Uttar Pradesh,2020-04-08,1.2,0.6900000000000001,1.7
Uttar Pradesh,2020-04-09,1.07,0.58,1.59
Uttar Pradesh,2020-04-10,0.92,0.4,1.41
Uttar Pradesh,2020-04-11,0.9500000000000001,0.44,1.46
Uttar Pradesh,2020-04-12,1.1,0.6,1.61
Uttar Pradesh,2020-04-13,1.33,0.85,1.82
Uttar Pradesh,2020-04-14,1.5,1.04,1.95
Uttar Pradesh,2020-04-15,1.59,1.18,2.0300000000000002
Uttar Pradesh,2020-04-16,1.56,1.17,1.96
Uttar Pradesh,2020-04-17,1.54,1.18,1.92
Uttar Pradesh,2020-04-18,1.3900000000000001,1.04,1.74
West Bengal,2020-03-19,0.0,0.59,12.0
West Bengal,2020-03-20,1.0,0.0,6.3500000000000005
West Bengal,2020-03-21,1.0,0.0,5.08
West Bengal,2020-03-22,1.0,0.0,4.44
West Bengal,2020-03-23,1.0,0.0,4.03
West Bengal,2020-03-24,1.0,0.0,3.74
West Bengal,2020-03-25,1.62,0.0,3.87
West Bengal,2020-03-26,1.47,0.0,3.49
West Bengal,2020-03-27,1.42,0.0,3.34
West Bengal,2020-03-28,1.73,0.01,3.47
West Bengal,2020-03-29,1.62,0.0,3.23
West Bengal,2020-03-30,2.0100000000000002,0.26,3.62
West Bengal,2020-03-31,1.98,0.38,3.48
West Bengal,2020-04-01,1.79,0.34,3.15
West Bengal,2020-04-02,1.78,0.42,3.0300000000000002
West Bengal,2020-04-03,1.6500000000000001,0.39,2.8000000000000003
West Bengal,2020-04-04,1.56,0.41000000000000003,2.67
West Bengal,2020-04-05,1.49,0.4,2.5300000000000002
West Bengal,2020-04-06,1.3,0.26,2.27
West Bengal,2020-04-07,1.21,0.23,2.17
West Bengal,2020-04-08,1.1300000000000001,0.18,2.06
West Bengal,2020-04-09,1.0,0.11,1.9100000000000001
West Bengal,2020-04-10,1.1300000000000001,0.2,2.06
West Bengal,2020-04-11,1.19,0.24,2.09
West Bengal,2020-04-12,1.4000000000000001,0.49,2.32
West Bengal,2020-04-13,1.51,0.65,2.38
West Bengal,2020-04-14,1.58,0.78,2.39
West Bengal,2020-04-15,1.58,0.84,2.34
West Bengal,2020-04-16,1.57,0.86,2.25
West Bengal,2020-04-17,1.47,0.81,2.12
West Bengal,2020-04-18,1.35,0.72,1.98
